suite_id,condition,difficulty,passed,total,pass_rate
suite_f,baseline,easy,12,13,92.3
suite_f,baseline,hard,111,139,79.9
suite_f,baseline,medium,39,46,84.8
suite_f,explicit_state_threading,easy,11,13,84.6
suite_f,explicit_state_threading,hard,119,139,85.6
suite_f,explicit_state_threading,medium,42,46,91.3
suite_f,immutable_pipeline,easy,11,13,84.6
suite_f,immutable_pipeline,hard,113,139,81.3
suite_f,immutable_pipeline,medium,38,46,82.6
suite_f,rebinding_stepwise,easy,12,13,92.3
suite_f,rebinding_stepwise,hard,117,139,84.2
suite_f,rebinding_stepwise,medium,44,46,95.7
