condition,difficulty,pass_rate,baseline_pass_rate,delta_vs_full_docs,baseline_only_wins,condition_only_wins,same,mcnemar_pvalue
minimal_docs,easy,69.2,92.3,-23.1,4,1,8,0.375
minimal_docs,hard,39.6,84.2,-44.6,67,5,67,0.0
minimal_docs,medium,58.7,82.6,-23.9,14,3,29,0.012726
reference_no_examples,easy,100.0,92.3,7.7,0,1,12,1.0
reference_no_examples,hard,81.3,84.2,-2.9,9,5,125,0.42395
reference_no_examples,medium,89.1,82.6,6.5,1,4,41,0.375
signature_only,easy,46.2,92.3,-46.1,7,1,5,0.070312
signature_only,hard,38.8,84.2,-45.4,68,5,66,0.0
signature_only,medium,54.3,82.6,-28.3,14,1,31,0.000977
