language,rows,passed,pass_rate,mean_mutability_burden_score,mean_assignment_count,mean_update_operation_count,mean_state_word_count,success_feature_corr
elixir,198,173,87.4,4.289,4.97,1.293,0.682,0.002
kotlin,200,153,76.5,11.78,10.665,1.605,2.475,-0.065
csharp,199,144,72.4,19.964,20.693,1.96,3.256,0.013
ruby,200,126,63.0,11.297,11.265,1.935,0.995,-0.16
julia,200,114,57.0,9.06,9.54,1.5,0.48,-0.195
dart,200,113,56.5,14.05,13.635,1.79,2.42,-0.058
r,198,108,54.5,5.844,5.389,1.247,0.5,-0.058
java,188,96,51.1,14.851,12.41,2.436,3.33,0.018
racket,196,100,51.0,1.897,1.051,0.643,0.362,-0.102
scala,199,101,50.8,17.202,17.653,1.698,2.93,-0.158
shell,188,95,50.5,7.32,7.58,1.037,0.739,-0.052
cpp,186,93,50.0,29.284,23.704,8.091,2.414,-0.205
typescript,199,98,49.2,12.308,10.271,2.618,1.905,-0.131
perl,200,89,44.5,7.281,7.155,1.655,0.135,-0.279
python,196,86,43.9,10.671,10.02,2.117,1.005,-0.142
swift,200,87,43.5,9.434,10.22,1.21,0.785,-0.12
go,191,82,42.9,9.821,9.885,1.188,1.508,-0.029
javascript,184,79,42.9,13.891,11.19,2.745,2.766,-0.048
rust,199,80,40.2,22.566,19.07,6.206,1.276,-0.146
php,199,71,35.7,17.849,18.698,2.492,1.688,-0.342
