condition_id,condition_label,passed,total,pass_rate,ci_low,ci_high
ff_0000,docs_low_examples_low_contracts_low_state_low,9,48,18.8,10.2,31.9
ff_0011,docs_low_examples_low_contracts_high_state_high,31,48,64.6,50.4,76.6
ff_0101,docs_low_examples_high_contracts_low_state_high,21,48,43.8,30.7,57.7
ff_0110,docs_low_examples_high_contracts_high_state_low,38,48,79.2,65.7,88.3
ff_1001,docs_high_examples_low_contracts_low_state_high,12,48,25.0,14.9,38.8
ff_1010,docs_high_examples_low_contracts_high_state_low,32,48,66.7,52.5,78.3
ff_1100,docs_high_examples_high_contracts_low_state_low,27,48,56.2,42.3,69.3
ff_1111,docs_high_examples_high_contracts_high_state_high,37,48,77.1,63.5,86.7
